Setores e subsetores,Trimestre,Valor,Ano
"Atividades financeiras, de seguros e serviços relacionados",2,17206.0,1998
"Atividades financeiras, de seguros e serviços relacionados",3,21561.0,1998
"Atividades financeiras, de seguros e serviços relacionados",4,22707.0,1998
"Atividades financeiras, de seguros e serviços relacionados",1,17731.0,1999
"Atividades financeiras, de seguros e serviços relacionados",2,16831.0,1999
"Atividades financeiras, de seguros e serviços relacionados",3,21311.0,1999
"Atividades financeiras, de seguros e serviços relacionados",4,22638.0,1999
"Atividades financeiras, de seguros e serviços relacionados",1,16057.0,2000
"Atividades financeiras, de seguros e serviços relacionados",2,15132.0,2000
"Atividades financeiras, de seguros e serviços relacionados",3,19309.0,2000
"Atividades financeiras, de seguros e serviços relacionados",4,19991.0,2000
"Atividades financeiras, de seguros e serviços relacionados",1,18490.0,2001
"Atividades financeiras, de seguros e serviços relacionados",2,16886.0,2001
"Atividades financeiras, de seguros e serviços relacionados",3,21650.0,2001
"Atividades financeiras, de seguros e serviços relacionados",4,22885.0,2001
"Atividades financeiras, de seguros e serviços relacionados",1,22206.0,2002
"Atividades financeiras, de seguros e serviços relacionados",2,20920.0,2002
"Atividades financeiras, de seguros e serviços relacionados",3,27828.0,2002
"Atividades financeiras, de seguros e serviços relacionados",4,29621.0,2002
"Atividades financeiras, de seguros e serviços relacionados",1,24824.0,2003
"Atividades financeiras, de seguros e serviços relacionados",2,23121.0,2003
"Atividades financeiras, de seguros e serviços relacionados",3,30031.0,2003
"Atividades financeiras, de seguros e serviços relacionados",4,31517.0,2003
"Atividades financeiras, de seguros e serviços relacionados",1,24355.0,2004
"Atividades financeiras, de seguros e serviços relacionados",2,24010.0,2004
"Atividades financeiras, de seguros e serviços relacionados",3,28739.0,2004
"Atividades financeiras, de seguros e serviços relacionados",4,31212.0,2004
"Atividades financeiras, de seguros e serviços relacionados",1,27032.0,2005
"Atividades financeiras, de seguros e serviços relacionados",2,30033.0,2005
"Atividades financeiras, de seguros e serviços relacionados",3,36351.0,2005
"Atividades financeiras, de seguros e serviços relacionados",4,38103.0,2005
"Atividades financeiras, de seguros e serviços relacionados",1,33447.0,2006
"Atividades financeiras, de seguros e serviços relacionados",2,35791.0,2006
"Atividades financeiras, de seguros e serviços relacionados",3,37177.0,2006
"Atividades financeiras, de seguros e serviços relacionados",4,41053.0,2006
"Atividades financeiras, de seguros e serviços relacionados",1,42874.0,2007
"Atividades financeiras, de seguros e serviços relacionados",2,44553.0,2007
"Atividades financeiras, de seguros e serviços relacionados",3,41054.0,2007
"Atividades financeiras, de seguros e serviços relacionados",4,41694.0,2007
"Atividades financeiras, de seguros e serviços relacionados",1,44720.0,2008
"Atividades financeiras, de seguros e serviços relacionados",2,41225.0,2008
"Atividades financeiras, de seguros e serviços relacionados",3,44020.0,2008
"Atividades financeiras, de seguros e serviços relacionados",4,40854.0,2008
"Atividades financeiras, de seguros e serviços relacionados",1,42569.0,2009
"Atividades financeiras, de seguros e serviços relacionados",2,45328.0,2009
"Atividades financeiras, de seguros e serviços relacionados",3,50060.0,2009
"Atividades financeiras, de seguros e serviços relacionados",4,49635.0,2009
"Atividades financeiras, de seguros e serviços relacionados",1,53715.0,2010
"Atividades financeiras, de seguros e serviços relacionados",2,54229.0,2010
"Atividades financeiras, de seguros e serviços relacionados",3,57752.0,2010
"Atividades financeiras, de seguros e serviços relacionados",4,58865.0,2010
"Atividades financeiras, de seguros e serviços relacionados",1,59176.0,2011
"Atividades financeiras, de seguros e serviços relacionados",2,60213.0,2011
"Atividades financeiras, de seguros e serviços relacionados",3,60113.0,2011
"Atividades financeiras, de seguros e serviços relacionados",4,59925.0,2011
"Atividades financeiras, de seguros e serviços relacionados",1,71001.0,2012
"Atividades financeiras, de seguros e serviços relacionados",2,63985.0,2012
"Atividades financeiras, de seguros e serviços relacionados",3,64192.0,2012
"Atividades financeiras, de seguros e serviços relacionados",4,61134.0,2012
"Atividades financeiras, de seguros e serviços relacionados",1,68052.0,2013
"Atividades financeiras, de seguros e serviços relacionados",2,66816.0,2013
"Atividades financeiras, de seguros e serviços relacionados",3,71113.0,2013
"Atividades financeiras, de seguros e serviços relacionados",4,66590.0,2013
"Atividades financeiras, de seguros e serviços relacionados",1,78445.0,2014
"Atividades financeiras, de seguros e serviços relacionados",2,79471.0,2014
"Atividades financeiras, de seguros e serviços relacionados",3,80908.0,2014
"Atividades financeiras, de seguros e serviços relacionados",4,79856.0,2014
"Atividades financeiras, de seguros e serviços relacionados",1,85370.0,2015
"Atividades financeiras, de seguros e serviços relacionados",2,87936.0,2015
"Atividades financeiras, de seguros e serviços relacionados",3,92426.0,2015
"Atividades financeiras, de seguros e serviços relacionados",4,99544.0,2015
"Atividades financeiras, de seguros e serviços relacionados",1,104126.0,2016
"Atividades financeiras, de seguros e serviços relacionados",2,104936.0,2016
"Atividades financeiras, de seguros e serviços relacionados",3,106935.0,2016
"Atividades financeiras, de seguros e serviços relacionados",4,109536.0,2016
"Atividades financeiras, de seguros e serviços relacionados",1,110426.0,2017
"Atividades financeiras, de seguros e serviços relacionados",2,107498.0,2017
"Atividades financeiras, de seguros e serviços relacionados",3,103931.0,2017
"Atividades financeiras, de seguros e serviços relacionados",4,107608.0,2017
"Atividades financeiras, de seguros e serviços relacionados",1,108056.0,2018
"Atividades financeiras, de seguros e serviços relacionados",2,103668.0,2018
"Atividades financeiras, de seguros e serviços relacionados",3,95516.0,2018
"Atividades financeiras, de seguros e serviços relacionados",4,102259.0,2018
"Atividades financeiras, de seguros e serviços relacionados",1,104554.0,2019
"Atividades financeiras, de seguros e serviços relacionados",2,103674.0,2019
"Atividades financeiras, de seguros e serviços relacionados",3,108261.0,2019
"Atividades financeiras, de seguros e serviços relacionados",4,109579.0,2019
"Atividades financeiras, de seguros e serviços relacionados",1,105763.0,2020
"Atividades financeiras, de seguros e serviços relacionados",2,96072.0,2020
Atividades imobiliárias,1,21647.0,1996
Atividades imobiliárias,2,23734.0,1996
Atividades imobiliárias,3,25828.0,1996
Atividades imobiliárias,4,27031.0,1996
Atividades imobiliárias,1,27561.0,1997
Atividades imobiliárias,2,29218.0,1997
Atividades imobiliárias,3,30131.0,1997
Atividades imobiliárias,4,31602.0,1997
Atividades imobiliárias,1,30036.0,1998
Atividades imobiliárias,2,31042.0,1998
Atividades imobiliárias,3,31413.0,1998
Atividades imobiliárias,4,32438.0,1998
Atividades imobiliárias,1,29215.0,1999
Atividades imobiliárias,2,30344.0,1999
Atividades imobiliárias,3,31427.0,1999
Atividades imobiliárias,4,32723.0,1999
Atividades imobiliárias,1,30302.0,2000
Atividades imobiliárias,2,30842.0,2000
Atividades imobiliárias,3,31578.0,2000
Atividades imobiliárias,4,33434.0,2000
Atividades imobiliárias,1,30318.0,2001
Atividades imobiliárias,2,31697.0,2001
Atividades imobiliárias,3,32113.0,2001
Atividades imobiliárias,4,34005.0,2001
Atividades imobiliárias,1,33098.0,2002
Atividades imobiliárias,2,33795.0,2002
Atividades imobiliárias,3,34341.0,2002
Atividades imobiliárias,4,35278.0,2002
Atividades imobiliárias,1,35207.0,2003
Atividades imobiliárias,2,36059.0,2003
Atividades imobiliárias,3,36565.0,2003
Atividades imobiliárias,4,38178.0,2003
Atividades imobiliárias,1,37461.0,2004
Atividades imobiliárias,2,38423.0,2004
Atividades imobiliárias,3,39617.0,2004
Atividades imobiliárias,4,43135.0,2004
Atividades imobiliárias,1,41763.0,2005
Atividades imobiliárias,2,42497.0,2005
Atividades imobiliárias,3,43262.0,2005
Atividades imobiliárias,4,44296.0,2005
Atividades imobiliárias,1,44170.0,2006
Atividades imobiliárias,2,44953.0,2006
Atividades imobiliárias,3,46213.0,2006
Atividades imobiliárias,4,47641.0,2006
Atividades imobiliárias,1,48638.0,2007
Atividades imobiliárias,2,50965.0,2007
Atividades imobiliárias,3,51330.0,2007
Atividades imobiliárias,4,53265.0,2007
Atividades imobiliárias,1,53367.0,2008
Atividades imobiliárias,2,54894.0,2008
Atividades imobiliárias,3,56667.0,2008
Atividades imobiliárias,4,56372.0,2008
Atividades imobiliárias,1,58925.0,2009
Atividades imobiliárias,2,60415.0,2009
Atividades imobiliárias,3,62786.0,2009
Atividades imobiliárias,4,65091.0,2009
Atividades imobiliárias,1,65789.0,2010
Atividades imobiliárias,2,67426.0,2010
Atividades imobiliárias,3,68897.0,2010
Atividades imobiliárias,4,72308.0,2010
Atividades imobiliárias,1,73849.0,2011
Atividades imobiliárias,2,77027.0,2011
Atividades imobiliárias,3,78874.0,2011
Atividades imobiliárias,4,81630.0,2011
Atividades imobiliárias,1,86325.0,2012
Atividades imobiliárias,2,88537.0,2012
Atividades imobiliárias,3,91096.0,2012
Atividades imobiliárias,4,92989.0,2012
Atividades imobiliárias,1,99892.0,2013
Atividades imobiliárias,2,103004.0,2013
Atividades imobiliárias,3,106083.0,2013
Atividades imobiliárias,4,110223.0,2013
Atividades imobiliárias,1,111644.0,2014
Atividades imobiliárias,2,114080.0,2014
Atividades imobiliárias,3,116943.0,2014
Atividades imobiliárias,4,121114.0,2014
Atividades imobiliárias,1,122340.0,2015
Atividades imobiliárias,2,123178.0,2015
Atividades imobiliárias,3,125409.0,2015
Atividades imobiliárias,4,127957.0,2015
Atividades imobiliárias,1,129220.0,2016
Atividades imobiliárias,2,130598.0,2016
Atividades imobiliárias,3,132043.0,2016
Atividades imobiliárias,4,135145.0,2016
Atividades imobiliárias,1,135898.0,2017
Atividades imobiliárias,2,139162.0,2017
Atividades imobiliárias,3,140955.0,2017
Atividades imobiliárias,4,142027.0,2017
Atividades imobiliárias,1,142799.0,2018
Atividades imobiliárias,2,144410.0,2018
Atividades imobiliárias,3,147567.0,2018
Atividades imobiliárias,4,148515.0,2018
Atividades imobiliárias,1,150309.0,2019
Atividades imobiliárias,2,153460.0,2019
Atividades imobiliárias,3,155927.0,2019
Atividades imobiliárias,4,157432.0,2019
Atividades imobiliárias,1,159141.0,2020
Atividades imobiliárias,2,161449.0,2020
Outras atividades de serviços,1,27237.0,1996
Outras atividades de serviços,2,28920.0,1996
Outras atividades de serviços,3,31498.0,1996
Outras atividades de serviços,4,34128.0,1996
Outras atividades de serviços,1,32316.0,1997
Outras atividades de serviços,2,32266.0,1997
Outras atividades de serviços,3,34273.0,1997
Outras atividades de serviços,4,35384.0,1997
Outras atividades de serviços,1,34227.0,1998
Outras atividades de serviços,2,35131.0,1998
Outras atividades de serviços,3,36224.0,1998
Outras atividades de serviços,4,35006.0,1998
Outras atividades de serviços,1,39522.0,1999
Outras atividades de serviços,2,41053.0,1999
Outras atividades de serviços,3,42058.0,1999
Outras atividades de serviços,4,44951.0,1999
Outras atividades de serviços,1,39855.0,2000
Outras atividades de serviços,2,42838.0,2000
Outras atividades de serviços,3,45941.0,2000
Outras atividades de serviços,4,45729.0,2000
Outras atividades de serviços,1,43215.0,2001
Outras atividades de serviços,2,45379.0,2001
Outras atividades de serviços,3,44201.0,2001
Outras atividades de serviços,4,48877.0,2001
Outras atividades de serviços,1,50351.0,2002
Outras atividades de serviços,2,54746.0,2002
Outras atividades de serviços,3,53312.0,2002
Outras atividades de serviços,4,49819.0,2002
Outras atividades de serviços,1,51802.0,2003
Outras atividades de serviços,2,55491.0,2003
Outras atividades de serviços,3,58055.0,2003
Outras atividades de serviços,4,61213.0,2003
Outras atividades de serviços,1,58736.0,2004
Outras atividades de serviços,2,61761.0,2004
Outras atividades de serviços,3,64595.0,2004
Outras atividades de serviços,4,66007.0,2004
Outras atividades de serviços,1,64418.0,2005
Outras atividades de serviços,2,66939.0,2005
Outras atividades de serviços,3,68986.0,2005
Outras atividades de serviços,4,71809.0,2005
Outras atividades de serviços,1,74289.0,2006
Outras atividades de serviços,2,78171.0,2006
Outras atividades de serviços,3,83917.0,2006
Outras atividades de serviços,4,88038.0,2006
Outras atividades de serviços,1,84981.0,2007
Outras atividades de serviços,2,88039.0,2007
Outras atividades de serviços,3,90475.0,2007
Outras atividades de serviços,4,96274.0,2007
Outras atividades de serviços,1,93652.0,2008
Outras atividades de serviços,2,99046.0,2008
Outras atividades de serviços,3,101652.0,2008
Outras atividades de serviços,4,104572.0,2008
Outras atividades de serviços,1,106821.0,2009
Outras atividades de serviços,2,111989.0,2009
Outras atividades de serviços,3,117079.0,2009
Outras atividades de serviços,4,119961.0,2009
Outras atividades de serviços,1,120515.0,2010
Outras atividades de serviços,2,123501.0,2010
Outras atividades de serviços,3,133558.0,2010
Outras atividades de serviços,4,139918.0,2010
Outras atividades de serviços,1,135234.0,2011
Outras atividades de serviços,2,147272.0,2011
Outras atividades de serviços,3,151286.0,2011
Outras atividades de serviços,4,155941.0,2011
Outras atividades de serviços,1,157475.0,2012
Outras atividades de serviços,2,164721.0,2012
Outras atividades de serviços,3,170584.0,2012
Outras atividades de serviços,4,183889.0,2012
Outras atividades de serviços,1,177598.0,2013
Outras atividades de serviços,2,188226.0,2013
Outras atividades de serviços,3,197569.0,2013
Outras atividades de serviços,4,205473.0,2013
Outras atividades de serviços,1,200735.0,2014
Outras atividades de serviços,2,213831.0,2014
Outras atividades de serviços,3,222577.0,2014
Outras atividades de serviços,4,230324.0,2014
Outras atividades de serviços,1,215488.0,2015
Outras atividades de serviços,2,224060.0,2015
Outras atividades de serviços,3,226428.0,2015
Outras atividades de serviços,4,231912.0,2015
Outras atividades de serviços,1,226703.0,2016
Outras atividades de serviços,2,235004.0,2016
Outras atividades de serviços,3,240215.0,2016
Outras atividades de serviços,4,248090.0,2016
Outras atividades de serviços,1,234788.0,2017
Outras atividades de serviços,2,247396.0,2017
Outras atividades de serviços,3,252189.0,2017
Outras atividades de serviços,4,261309.0,2017
Outras atividades de serviços,1,246918.0,2018
Outras atividades de serviços,2,259377.0,2018
Outras atividades de serviços,3,266080.0,2018
Outras atividades de serviços,4,275184.0,2018
Outras atividades de serviços,1,258209.0,2019
Outras atividades de serviços,2,270218.0,2019
Outras atividades de serviços,3,277017.0,2019
Outras atividades de serviços,4,291722.0,2019
Outras atividades de serviços,1,257692.0,2020
Outras atividades de serviços,2,224529.0,2020
"Administração, saúde e educação públicas e seguridade social",1,27088.0,1996
"Administração, saúde e educação públicas e seguridade social",2,28775.0,1996
"Administração, saúde e educação públicas e seguridade social",3,28600.0,1996
"Administração, saúde e educação públicas e seguridade social",4,36221.0,1996
"Administração, saúde e educação públicas e seguridade social",1,29408.0,1997
"Administração, saúde e educação públicas e seguridade social",2,31184.0,1997
"Administração, saúde e educação públicas e seguridade social",3,31008.0,1997
"Administração, saúde e educação públicas e seguridade social",4,38120.0,1997
"Administração, saúde e educação públicas e seguridade social",1,31326.0,1998
"Administração, saúde e educação públicas e seguridade social",2,33247.0,1998
"Administração, saúde e educação públicas e seguridade social",3,33032.0,1998
"Administração, saúde e educação públicas e seguridade social",4,41001.0,1998
"Administração, saúde e educação públicas e seguridade social",1,33877.0,1999
"Administração, saúde e educação públicas e seguridade social",2,35928.0,1999
"Administração, saúde e educação públicas e seguridade social",3,35880.0,1999
"Administração, saúde e educação públicas e seguridade social",4,44417.0,1999
"Administração, saúde e educação públicas e seguridade social",1,36254.0,2000
"Administração, saúde e educação públicas e seguridade social",2,38673.0,2000
"Administração, saúde e educação públicas e seguridade social",3,38448.0,2000
"Administração, saúde e educação públicas e seguridade social",4,48462.0,2000
"Administração, saúde e educação públicas e seguridade social",1,41234.0,2001
"Administração, saúde e educação públicas e seguridade social",2,44027.0,2001
"Administração, saúde e educação públicas e seguridade social",3,43967.0,2001
"Administração, saúde e educação públicas e seguridade social",4,54968.0,2001
"Administração, saúde e educação públicas e seguridade social",1,46824.0,2002
"Administração, saúde e educação públicas e seguridade social",2,50232.0,2002
"Administração, saúde e educação públicas e seguridade social",3,49792.0,2002
"Administração, saúde e educação públicas e seguridade social",4,62541.0,2002
"Administração, saúde e educação públicas e seguridade social",1,53403.0,2003
"Administração, saúde e educação públicas e seguridade social",2,57097.0,2003
"Administração, saúde e educação públicas e seguridade social",3,55341.0,2003
"Administração, saúde e educação públicas e seguridade social",4,69815.0,2003
"Administração, saúde e educação públicas e seguridade social",1,56264.0,2004
"Administração, saúde e educação públicas e seguridade social",2,61526.0,2004
"Administração, saúde e educação públicas e seguridade social",3,64558.0,2004
"Administração, saúde e educação públicas e seguridade social",4,77329.0,2004
"Administração, saúde e educação públicas e seguridade social",1,64449.0,2005
"Administração, saúde e educação públicas e seguridade social",2,69929.0,2005
"Administração, saúde e educação públicas e seguridade social",3,71455.0,2005
"Administração, saúde e educação públicas e seguridade social",4,89297.0,2005
"Administração, saúde e educação públicas e seguridade social",1,73084.0,2006
"Administração, saúde e educação públicas e seguridade social",2,78270.0,2006
"Administração, saúde e educação públicas e seguridade social",3,82328.0,2006
"Administração, saúde e educação públicas e seguridade social",4,99938.0,2006
"Administração, saúde e educação públicas e seguridade social",1,86020.0,2007
"Administração, saúde e educação públicas e seguridade social",2,91843.0,2007
"Administração, saúde e educação públicas e seguridade social",3,91667.0,2007
"Administração, saúde e educação públicas e seguridade social",4,107580.0,2007
"Administração, saúde e educação públicas e seguridade social",1,94335.0,2008
"Administração, saúde e educação públicas e seguridade social",2,104315.0,2008
"Administração, saúde e educação públicas e seguridade social",3,104415.0,2008
"Administração, saúde e educação públicas e seguridade social",4,131158.0,2008
"Administração, saúde e educação públicas e seguridade social",1,113420.0,2009
"Administração, saúde e educação públicas e seguridade social",2,114139.0,2009
"Administração, saúde e educação públicas e seguridade social",3,116227.0,2009
"Administração, saúde e educação públicas e seguridade social",4,143394.0,2009
"Administração, saúde e educação públicas e seguridade social",1,121078.0,2010
"Administração, saúde e educação públicas e seguridade social",2,126519.0,2010
"Administração, saúde e educação públicas e seguridade social",3,128579.0,2010
"Administração, saúde e educação públicas e seguridade social",4,161669.0,2010
"Administração, saúde e educação públicas e seguridade social",1,132557.0,2011
"Administração, saúde e educação públicas e seguridade social",2,145815.0,2011
"Administração, saúde e educação públicas e seguridade social",3,143785.0,2011
"Administração, saúde e educação públicas e seguridade social",4,175903.0,2011
"Administração, saúde e educação públicas e seguridade social",1,144680.0,2012
"Administração, saúde e educação públicas e seguridade social",2,159298.0,2012
"Administração, saúde e educação públicas e seguridade social",3,155248.0,2012
"Administração, saúde e educação públicas e seguridade social",4,192875.0,2012
"Administração, saúde e educação públicas e seguridade social",1,165020.0,2013
"Administração, saúde e educação públicas e seguridade social",2,184790.0,2013
"Administração, saúde e educação públicas e seguridade social",3,177138.0,2013
"Administração, saúde e educação públicas e seguridade social",4,219239.0,2013
"Administração, saúde e educação públicas e seguridade social",1,186036.0,2014
"Administração, saúde e educação públicas e seguridade social",2,199156.0,2014
"Administração, saúde e educação públicas e seguridade social",3,197865.0,2014
"Administração, saúde e educação públicas e seguridade social",4,233751.0,2014
"Administração, saúde e educação públicas e seguridade social",1,202894.0,2015
"Administração, saúde e educação públicas e seguridade social",2,217378.0,2015
"Administração, saúde e educação públicas e seguridade social",3,210603.0,2015
"Administração, saúde e educação públicas e seguridade social",4,254712.0,2015
"Administração, saúde e educação públicas e seguridade social",1,213882.0,2016
"Administração, saúde e educação públicas e seguridade social",2,230102.0,2016
"Administração, saúde e educação públicas e seguridade social",3,223184.0,2016
"Administração, saúde e educação públicas e seguridade social",4,277953.0,2016
"Administração, saúde e educação públicas e seguridade social",1,234288.0,2017
"Administração, saúde e educação públicas e seguridade social",2,253589.0,2017
"Administração, saúde e educação públicas e seguridade social",3,236943.0,2017
"Administração, saúde e educação públicas e seguridade social",4,276155.0,2017
"Administração, saúde e educação públicas e seguridade social",1,243369.0,2018
"Administração, saúde e educação públicas e seguridade social",2,255270.0,2018
"Administração, saúde e educação públicas e seguridade social",3,250590.0,2018
"Administração, saúde e educação públicas e seguridade social",4,297099.0,2018
"Administração, saúde e educação públicas e seguridade social",1,261314.0,2019
"Administração, saúde e educação públicas e seguridade social",2,274813.0,2019
"Administração, saúde e educação públicas e seguridade social",3,266422.0,2019
"Administração, saúde e educação públicas e seguridade social",4,315961.0,2019
"Administração, saúde e educação públicas e seguridade social",1,269284.0,2020
"Administração, saúde e educação públicas e seguridade social",2,283701.0,2020
Valor adicionado a preços básicos,1,164363.0,1996
Valor adicionado a preços básicos,2,178232.0,1996
Valor adicionado a preços básicos,3,194164.0,1996
Valor adicionado a preços básicos,4,210538.0,1996
Valor adicionado a preços básicos,1,192125.0,1997
Valor adicionado a preços básicos,2,204289.0,1997
Valor adicionado a preços básicos,3,216623.0,1997
Valor adicionado a preços básicos,4,223706.0,1997
Valor adicionado a preços básicos,1,206441.0,1998
Valor adicionado a preços básicos,2,221139.0,1998
Valor adicionado a preços básicos,3,228016.0,1998
Valor adicionado a preços básicos,4,226347.0,1998
Valor adicionado a preços básicos,1,216680.0,1999
Valor adicionado a preços básicos,2,233048.0,1999
Valor adicionado a preços básicos,3,237216.0,1999
Valor adicionado a preços básicos,4,254974.0,1999
Valor adicionado a preços básicos,1,238777.0,2000
Valor adicionado a preços básicos,2,252563.0,2000
Valor adicionado a preços básicos,3,265181.0,2000
Valor adicionado a preços básicos,4,274805.0,2000
Valor adicionado a preços básicos,1,265452.0,2001
Valor adicionado a preços básicos,2,274203.0,2001
Valor adicionado a preços básicos,3,283216.0,2001
Valor adicionado a preços básicos,4,297551.0,2001
Valor adicionado a preços básicos,1,291380.0,2002
Valor adicionado a preços básicos,2,314173.0,2002
Valor adicionado a preços básicos,3,324786.0,2002
Valor adicionado a preços básicos,4,339875.0,2002
Valor adicionado a preços básicos,1,336741.0,2003
Valor adicionado a preços básicos,2,357676.0,2003
Valor adicionado a preços básicos,3,378148.0,2003
Valor adicionado a preços básicos,4,398152.0,2003
Valor adicionado a preços básicos,1,379899.0,2004
Valor adicionado a preços básicos,2,410181.0,2004
Valor adicionado a preços básicos,3,426501.0,2004
Valor adicionado a preços básicos,4,445401.0,2004
Valor adicionado a preços básicos,1,422438.0,2005
Valor adicionado a preços básicos,2,455670.0,2005
Valor adicionado a preços básicos,3,470496.0,2005
Valor adicionado a preços básicos,4,494213.0,2005
Valor adicionado a preços básicos,1,469287.0,2006
Valor adicionado a preços básicos,2,496134.0,2006
Valor adicionado a preços básicos,3,527890.0,2006
Valor adicionado a preços básicos,4,555979.0,2006
Valor adicionado a preços básicos,1,538861.0,2007
Valor adicionado a preços básicos,2,574065.0,2007
Valor adicionado a preços básicos,3,589524.0,2007
Valor adicionado a preços básicos,4,617078.0,2007
Valor adicionado a preços básicos,1,599663.0,2008
Valor adicionado a preços básicos,2,651488.0,2008
Valor adicionado a preços básicos,3,687743.0,2008
Valor adicionado a preços básicos,4,687584.0,2008
Valor adicionado a preços básicos,1,647106.0,2009
Valor adicionado a preços básicos,2,689724.0,2009
Valor adicionado a preços básicos,3,731387.0,2009
Valor adicionado a preços básicos,4,781546.0,2009
Valor adicionado a preços básicos,1,753060.0,2010
Valor adicionado a preços básicos,2,802015.0,2010
Valor adicionado a preços básicos,3,849929.0,2010
Valor adicionado a preços básicos,4,897836.0,2010
Valor adicionado a preços básicos,1,861194.0,2011
Valor adicionado a preços básicos,2,926223.0,2011
Valor adicionado a preços básicos,3,945813.0,2011
Valor adicionado a preços básicos,4,987231.0,2011
Valor adicionado a preços básicos,1,962008.0,2012
Valor adicionado a preços básicos,2,1008371.0,2012
Valor adicionado a preços básicos,3,1042216.0,2012
Valor adicionado a preços básicos,4,1081664.0,2012
Valor adicionado a preços básicos,1,1061264.0,2013
Valor adicionado a preços básicos,2,1129831.0,2013
Valor adicionado a preços básicos,3,1163576.0,2013
Valor adicionado a preços básicos,4,1199089.0,2013
Valor adicionado a preços básicos,1,1188834.0,2014
Valor adicionado a preços básicos,2,1226144.0,2014
Valor adicionado a preços básicos,3,1267673.0,2014
Valor adicionado a preços básicos,4,1290082.0,2014
Valor adicionado a preços básicos,1,1250156.0,2015
Valor adicionado a preços básicos,2,1273824.0,2015
Valor adicionado a preços básicos,3,1297686.0,2015
Valor adicionado a preços básicos,4,1333935.0,2015
Valor adicionado a preços básicos,1,1286655.0,2016
Valor adicionado a preços básicos,2,1347127.0,2016
Valor adicionado a preços básicos,3,1368127.0,2016
Valor adicionado a preços básicos,4,1417912.0,2016
Valor adicionado a preços básicos,1,1374852.0,2017
Valor adicionado a preços básicos,2,1417626.0,2017
Valor adicionado a preços básicos,3,1420306.0,2017
Valor adicionado a preços básicos,4,1456982.0,2017
Valor adicionado a preços básicos,1,1418692.0,2018
Valor adicionado a preços básicos,2,1464320.0,2018
Valor adicionado a preços básicos,3,1482617.0,2018
Valor adicionado a preços básicos,4,1528871.0,2018
Valor adicionado a preços básicos,1,1474283.0,2019
Valor adicionado a preços básicos,2,1540852.0,2019
Valor adicionado a preços básicos,3,1582996.0,2019
Valor adicionado a preços básicos,4,1614645.0,2019
Valor adicionado a preços básicos,1,1538433.0,2020
Valor adicionado a preços básicos,2,1477543.0,2020
Impostos líquidos sobre produtos,1,24960.0,1996
Impostos líquidos sobre produtos,2,26378.0,1996
Impostos líquidos sobre produtos,3,27349.0,1996
Impostos líquidos sobre produtos,4,28778.0,1996
Impostos líquidos sobre produtos,1,26992.0,1997
Impostos líquidos sobre produtos,2,28600.0,1997
Impostos líquidos sobre produtos,3,29556.0,1997
Impostos líquidos sobre produtos,4,30198.0,1997
Impostos líquidos sobre produtos,1,29259.0,1998
Impostos líquidos sobre produtos,2,30797.0,1998
Impostos líquidos sobre produtos,3,30027.0,1998
Impostos líquidos sobre produtos,4,30324.0,1998
Impostos líquidos sobre produtos,1,33988.0,1999
Impostos líquidos sobre produtos,2,35661.0,1999
Impostos líquidos sobre produtos,3,36910.0,1999
Impostos líquidos sobre produtos,4,39234.0,1999
Impostos líquidos sobre produtos,1,38150.0,2000
Impostos líquidos sobre produtos,2,40225.0,2000
Impostos líquidos sobre produtos,3,43715.0,2000
Impostos líquidos sobre produtos,4,45675.0,2000
Impostos líquidos sobre produtos,1,47018.0,2001
Impostos líquidos sobre produtos,2,49521.0,2001
Impostos líquidos sobre produtos,3,49308.0,2001
Impostos líquidos sobre produtos,4,49487.0,2001
Impostos líquidos sobre produtos,1,50916.0,2002
Impostos líquidos sobre produtos,2,53190.0,2002
Impostos líquidos sobre produtos,3,55008.0,2002
Impostos líquidos sobre produtos,4,59459.0,2002
Impostos líquidos sobre produtos,1,60501.0,2003
Impostos líquidos sobre produtos,2,61311.0,2003
Impostos líquidos sobre produtos,3,61202.0,2003
Impostos líquidos sobre produtos,4,64220.0,2003
Impostos líquidos sobre produtos,1,64885.0,2004
Impostos líquidos sobre produtos,2,71613.0,2004
Impostos líquidos sobre produtos,3,78751.0,2004
Impostos líquidos sobre produtos,4,80519.0,2004
Impostos líquidos sobre produtos,1,77272.0,2005
Impostos líquidos sobre produtos,2,79887.0,2005
Impostos líquidos sobre produtos,3,82363.0,2005
Impostos líquidos sobre produtos,4,88244.0,2005
Impostos líquidos sobre produtos,1,84984.0,2006
Impostos líquidos sobre produtos,2,85843.0,2006
Impostos líquidos sobre produtos,3,89958.0,2006
Impostos líquidos sobre produtos,4,99376.0,2006
Impostos líquidos sobre produtos,1,92562.0,2007
Impostos líquidos sobre produtos,2,96590.0,2007
Impostos líquidos sobre produtos,3,102322.0,2007
Impostos líquidos sobre produtos,4,109261.0,2007
Impostos líquidos sobre produtos,1,112393.0,2008
Impostos líquidos sobre produtos,2,118037.0,2008
Impostos líquidos sobre produtos,3,124860.0,2008
Impostos líquidos sobre produtos,4,128036.0,2008
Impostos líquidos sobre produtos,1,109021.0,2009
Impostos líquidos sobre produtos,2,113854.0,2009
Impostos líquidos sobre produtos,3,121456.0,2009
Impostos líquidos sobre produtos,4,138945.0,2009
Impostos líquidos sobre produtos,1,133337.0,2010
Impostos líquidos sobre produtos,2,142130.0,2010
Impostos líquidos sobre produtos,3,148006.0,2010
Impostos líquidos sobre produtos,4,159534.0,2010
